cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,3700,45,0.01,0.22609,0.52060,-0.15226,0.23334
1,4599,11,0.00,0.37074,0.59733,-0.11749,0.40505
2,4363,25,0.01,0.39506,0.60805,-0.00285,0.43656
3,3182,9,0.00,0.21524,0.51326,-0.12767,0.22646
