,Unnamed: 0,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep
684,684,5272,76,771,1,4.094624,3.69687,-12.3,1.4,9.964,9.331,9.274,0.5379999999999999,      ,,,0,1
685,685,5273,76,818,1,4.050464,3.758484,4.9,-18.4,12.26,11.408,11.331,0.7240000000000001,      ,,,0,1
686,686,5274,76,845,1,4.113283,4.8882970000000014,-2.8,-36.9,9.439,8.936,8.891,0.428,25952,19193.0,8.88,0,1
687,687,5275,76,853,1,4.12072,4.477553,10.9,-0.2,11.214,9.979,9.868,1.05,      ,,,0,1
688,688,5276,76,855,1,4.100158,4.694111,-17.2,-32.2,9.403,8.857999999999997,8.809,0.463,25850,19125.0,8.22,0,1
689,689,5277,76,901,1,4.029626,3.402658,12.0,-9.7,11.752,10.888,10.81,0.7340000000000001,      ,,,0,1
690,690,5278,76,910,1,4.118143,4.320538,18.9,-35.5,11.535,10.748,10.677,0.669,      ,,,0,1
691,691,5279,76,915,1,4.061856,3.683969,-7.3,-7.3,11.159,11.081,11.074000000000002,0.066,      ,,,0,1
692,692,5280,76,995,1,4.042356,4.464285,-5.6,-54.2,10.836,10.108,10.042,0.619,      ,18855.0,7.43,0,1
693,693,5281,76,996,1,4.063989,3.80804,0.3,-8.2,10.935,10.577,10.545,0.304,      ,,,0,1
694,694,5282,76,1009,1,4.14048,4.935751,14.1,-11.6,11.485,10.355,10.253,0.961,      ,,,0,1
695,695,5283,76,1013,1,4.031984,4.392318,-4.6,-12.7,11.868,10.111,9.953,1.493,      ,,,0,1
696,696,5284,76,1016,1,4.1218650000000014,4.429176999999998,15.2,-2.2,12.229,10.707,10.57,1.294,      ,,,0,1
697,697,5285,76,1024,1,4.081679,3.743791,-0.1,-2.6,12.259,10.73,10.592,1.3,      ,,,0,1
698,698,5286,76,1042,1,4.074223,4.39656,6.7,-7.0,11.192,11.06,11.048,0.112,      ,,,0,1
699,699,5287,76,1048,1,4.164608,4.3808620000000005,4.2,3.8,11.365,9.372,9.193,1.694,      ,,,0,1
700,700,5305,77,364,1,4.178489,4.765363,10.8,5.6,11.334,9.981,9.859,1.15,      ,,,0,1
701,701,5306,77,398,1,4.328947,4.504988,0.7,-9.7,11.388,10.688,10.625,0.595,      ,,,0,1
702,702,5307,77,436,1,4.311618,4.7506910000000016,14.2,-19.2,9.321,8.87,8.829,0.383,27283,20111.0,4.17,0,1
703,703,5308,77,447,1,4.281944,4.542699,169.5,5.6,8.587,7.888,7.825,0.594,27089,19971.0,15.44,0,1
704,704,5309,77,475,1,4.285204,4.152343,46.4,18.0,10.557,10.006,9.956,0.468,      ,19979.0,,0,1
705,705,5311,77,528,1,4.270982,4.702861,28.2,13.1,11.342,10.293,10.199,0.892,      ,,,0,1
706,706,5312,77,540,1,4.2773400000000015,3.5119260000000003,-13.9,-29.3,10.171,8.945,8.835,1.042,27046,,,0,1
707,707,5313,77,586,1,4.223448,3.902246,2.3,9.4,10.519,8.398,8.207,1.803,26691,19714.0,,0,1
708,708,5315,77,665,1,4.1764800000000015,4.8536800000000015,1.2,-5.1,11.681,10.883,10.811,0.6779999999999999,      ,,,0,1
709,709,5316,77,666,1,4.2779620000000005,3.698894,10.0,-4.7,10.815,9.938,9.859,0.745,      ,19946.0,12.89,0,1
710,710,5317,77,667,1,4.222125,4.097291,3.9,-14.8,10.651,9.402,9.29,1.062,      ,,,0,1
711,711,5318,77,678,1,4.306871,4.472321,41.9,-64.5,9.889,9.027,8.949,0.733,27260,,,0,1
712,712,5319,77,686,1,4.300676,3.520671,24.4,-6.6,9.621,9.271,9.24,0.298,27215,,,0,1
713,713,5320,77,689,1,4.281846,4.749562,38.3,15.3,10.857,10.275,10.223,0.495,      ,,,0,1
714,714,5321,77,714,1,4.231673000000002,4.998483,7.0,-24.8,10.862,10.085,10.015,0.66,      ,,,0,1
715,715,5322,77,715,1,4.314843,4.229911,8.3,-12.2,10.759,9.135,8.988999999999997,1.38,      ,,,0,1
716,716,5323,77,719,1,4.181036,4.661679,-2.7,-5.4,10.343,10.144,10.126,0.16899999999999998,      ,,,0,1
717,717,5324,77,731,1,4.200286,4.782573,11.8,0.0,10.886,9.589,9.472,1.102,      ,,,0,1
718,718,5325,77,732,1,4.301696,4.676475,7.4,-7.5,11.415,10.712,10.649,0.598,      ,,,0,1
719,719,5326,77,733,1,4.243545,3.763262,-5.8,-13.7,11.561,9.791,9.632,1.505,      ,,,0,1
720,720,5327,77,740,1,4.308959,4.951932,18.4,15.7,9.746,7.981,7.822,1.5,27270,20099.0,,0,1
721,721,5328,77,761,1,4.252622,4.774923,-74.1,-99.2,10.336,9.439,9.358,0.762,      ,,,0,1
722,722,5329,77,776,1,4.249130999999998,4.861461,-2.4,-24.2,10.589,9.241,9.12,1.146,      ,,,0,1
723,723,5330,77,830,1,4.238027,4.424323,8.3,2.7,11.837,10.129,9.975,1.452,      ,,,0,1
724,724,5331,77,834,1,4.273183,4.457889,-4.3,-28.9,9.147,8.927,8.907,0.187,27014,,,0,1
725,725,5332,77,853,1,4.3299,3.881981,19.1,-26.2,11.499,10.568,10.484000000000002,0.7909999999999999,      ,,,0,1
726,726,5333,77,860,1,4.254256,4.707973,-11.2,-8.2,10.502,10.176,10.147,0.277,      ,,,0,1
727,727,5334,77,862,1,4.20043,4.71333,-0.4,-6.1,9.932,8.717,8.607999999999999,1.033,26548,,,0,1
728,728,5335,77,868,1,4.331597,4.548984,3.5,-0.7,10.35,9.913,9.874,0.371,      ,,,0,1
729,729,5336,77,912,1,4.281649,3.6355,-20.3,-44.2,10.951,10.237,10.173,0.607,      ,,,0,1
730,730,5337,77,958,1,4.213182,3.4469220000000003,21.7,-7.8,10.609000000000002,10.187,10.149,0.359,      ,,,0,1
731,731,5338,77,984,1,4.207944,4.819857,37.0,15.5,9.607,9.003,8.949,0.513,26588,19636.0,7.53,0,1
732,732,5339,77,996,1,4.252379,3.957396,23.5,-15.2,7.798999999999999,7.707000000000002,7.699,0.078,26885,19831.0,6.93,0,1
733,733,5340,77,1007,1,4.31205,3.573492,-47.7,-164.3,11.707,10.380999999999998,10.262,1.127,      ,,,0,1
734,734,5342,77,1026,1,4.240756,4.488404,-2.9,-3.3,11.171,10.728,10.688,0.377,      ,,,0,1
735,735,5343,77,1038,1,4.27619,3.915269,0.7,-5.0,11.172,10.677,10.632,0.421,      ,,,0,1
736,736,5344,77,1048,1,4.2893690000000015,4.503464,-2.4,-9.2,11.705,10.476,10.365,1.045,      ,,,0,1
737,737,5345,77,1057,1,4.25752,4.009385,9.4,1.5,7.547999999999999,7.374,7.358,0.14800000000000002,26924,19857.0,8.03,0,1
738,738,5346,77,1063,1,4.230986,3.410442,4.5,-7.3,12.063,10.529000000000002,10.390999999999998,1.304,      ,,,0,1
739,739,5347,77,1096,1,4.262125,3.970705,1.7,-22.9,9.974,8.741,8.63,1.048,26937,,,0,1
740,740,5348,77,1101,1,4.2471260000000015,4.788151999999998,35.9,-16.1,11.58,10.293,10.177,1.094,      ,,,0,1
741,741,5349,77,1204,1,4.200087,4.043677,3.3,-5.7,10.825,10.101,10.036,0.615,      ,,,0,1
742,742,5350,77,1230,1,4.3297089999999985,4.778914,-4.8,-13.1,11.136,10.695,10.655,0.375,      ,20203.0,6.59,0,1
743,743,5351,77,1285,1,4.208188,4.376877,12.2,-5.6,11.825,9.962,9.794,1.584,      ,,,0,1
744,744,5352,77,1306,1,4.3184809999999985,3.536632,-15.5,-22.7,11.828,9.965,9.797,1.584,      ,,,0,1
745,745,5386,78,617,1,4.411446,4.808578,2.3,-7.7,11.508,9.662,9.496,1.569,      ,,,0,1
746,746,5387,78,699,1,4.384035,4.613648,-59.2,-51.6,9.41,8.863999999999997,8.815,0.464,27764,,,0,1
747,747,5388,78,714,1,4.367883999999999,4.353284,-9.6,12.7,9.893,9.407,9.363,0.413,      ,,,0,1
748,748,5389,78,727,1,4.450974,4.280963,-6.4,-9.7,9.146,9.021,9.01,0.106,28190,20778.0,5.92,0,1
749,749,5390,78,743,1,4.3994800000000005,3.673932,-2.4,-15.7,11.212,10.522,10.46,0.5870000000000001,      ,,,0,1
750,750,5391,78,769,1,4.3584510000000005,4.1568830000000005,17.6,-2.8,10.864,10.386,10.343,0.406,      ,20343.0,6.33,0,1
751,751,5392,78,799,1,4.497051,4.513658,22.5,19.9,10.935,10.261,10.2,0.573,      ,,,0,1
752,752,5393,78,801,1,4.454942,3.490434,-12.2,-5.3,10.043,9.632,9.595,0.349,28228,,,0,1
753,753,5394,78,841,1,4.4778410000000015,4.261815,52.1,-77.2,11.495,10.51,10.421,0.8370000000000001,      ,,,0,1
754,754,5395,78,874,1,4.34381,3.709287,6.2,-7.4,10.109,9.801,9.773,0.262,      ,,,0,1
755,755,5396,78,893,1,4.371843,4.868786,36.6,-5.4,11.425999999999998,9.516,9.344,1.624,      ,,,0,1
756,756,5397,78,901,1,4.433707,4.373448000000002,17.0,-17.2,8.324,6.515,6.352,1.538,28086,20698.0,5.17,0,1
757,757,5398,78,913,1,4.499564,4.444135,1.3,-6.4,12.067,10.521,10.382,1.314,      ,,,0,1
758,758,5399,78,914,1,4.495959,4.696132,1.4,4.8,11.82,10.274,10.135,1.314,      ,,,0,1
759,759,5400,78,929,1,4.385529,3.990712,-2.0,-3.6,9.415,8.23,8.123,1.007,27772,,,0,1
760,760,5401,78,959,1,4.361268,3.937644,-6.5,-1.5,8.357000000000001,8.151,8.132,0.175,27641,,,0,1
761,761,5402,78,973,1,4.3476870000000005,3.889581,-8.7,-5.9,9.535,9.104,9.065,0.366,27527,,,0,1
762,762,5403,78,1076,1,4.473701,4.13356,17.0,-26.3,11.105,10.657,10.617,0.381,      ,,,0,1
763,763,5404,78,1103,1,4.464574,3.560566000000001,14.0,-11.9,10.765,9.42,9.299,1.143,28295,,,0,1
764,764,5405,78,1118,1,4.496407,4.117008,0.4,13.1,11.879,10.412,10.28,1.247,      ,,,0,1
765,765,5406,78,1146,1,4.425678,4.770706,36.1,-4.0,10.834,10.27,10.219,0.479,      ,,,0,1
766,766,5407,78,1147,1,4.412007,4.699948,98.8,0.1,9.915,9.046,8.968,0.7390000000000001,27935,20601.0,14.97,0,1
767,767,5408,78,1187,1,4.442981,4.597457,-5.9,-7.1,9.881,9.417,9.375,0.394,28151,,,0,1
768,768,5409,78,1200,1,4.419393,3.709914,-11.7,-1.2,11.795,11.07,11.005,0.616,      ,,,0,1
769,769,5411,78,1306,1,4.465485,4.410948,-8.3,-4.7,11.112,10.555,10.505,0.473,      ,,,0,1
770,770,5412,78,1320,1,4.404676,4.634774,-10.2,-16.3,11.355,10.011,9.89,1.142,      ,,,0,1
771,771,5413,78,1322,1,4.353468,4.465391,3.7,-15.5,10.349,9.026,8.907,1.125,27571,20321.0,,0,1
772,772,5414,78,1336,1,4.393587,4.609127,6.4,-13.9,11.981,10.661,10.542,1.122,      ,,,0,1
773,773,5415,78,1341,1,4.409159,4.123345,2.7,-10.6,10.369000000000002,9.788,9.736,0.494,      ,20587.0,3.04,0,1
774,774,5416,78,1343,1,4.3479480000000015,4.4749940000000015,1.5,-0.7,9.69,9.431,9.408,0.22,27526,,,0,1
775,775,5417,78,1350,1,4.445274,3.490174,0.1,-7.0,11.412,9.945,9.813,1.247,      ,,,0,1
776,776,5418,78,1360,1,4.393338,3.984172,-4.1,-3.7,10.153,10.052,10.043,0.086,27822,,,0,1
777,777,5419,78,1380,1,4.406531,3.910252,-51.7,-52.5,10.815,9.923,9.843,0.758,      ,,,0,1
778,778,5420,78,1382,1,4.368276,4.433023,-0.3,-8.8,11.630999999999998,10.999,10.942,0.537,      ,,,0,1
779,779,5421,78,1489,1,4.475478,4.167856,0.1,-0.2,11.11,10.949000000000002,10.935,0.13699999999999998,      ,,,0,1
780,780,5422,78,1511,1,4.493229,3.838596,53.8,-34.6,11.321,10.287,10.194,0.879,      ,20956.0,,0,1
781,781,5423,78,1545,1,4.405932,3.730465,11.9,-5.0,11.009,9.448,9.308,1.327,      ,,,0,1
782,782,5424,78,1620,1,4.426442,4.74282,3.4,-3.9,12.003,10.577,10.449000000000002,1.212,      ,,,0,1
783,783,5425,78,1658,1,4.346538,4.740178,34.0,-2.6,10.656,9.294,9.171,1.158,      ,,,0,1
784,784,5426,78,1691,1,4.363444,3.612635,-5.8,-15.8,9.978,9.705,9.68,0.232,      ,,,0,1
785,785,5427,78,1746,1,4.493862,4.57605,23.9,7.7,11.126,10.706,10.668,0.35700000000000004,      ,,,0,1
786,786,5428,78,1787,1,4.34516,4.264907,12.3,0.0,10.096,9.813,9.788,0.241,27515,,,0,1
787,787,5429,78,1812,1,4.35234,3.574717,-0.5,-2.0,11.274,10.807,10.765,0.397,      ,,,0,1
788,788,5430,78,1841,1,4.35962,3.837793,8.1,-4.2,12.195,10.58,10.435,1.3730000000000002,      ,,,0,1
789,789,5431,78,1844,1,4.480876,4.0705300000000015,15.5,2.6,11.332,10.909,10.871,0.36,      ,,,0,1
790,790,5432,78,1850,1,4.375035,3.4096839999999995,15.2,-20.7,9.099,8.833,8.809,0.226,27707,20424.0,5.28,0,1
791,791,5433,78,1875,1,4.352681,4.650111,12.3,-11.5,11.929,10.428,10.293,1.276,      ,,,0,1
792,792,5434,78,1913,1,4.364241000000002,3.743212,-0.5,-4.3,11.61,11.001,10.946,0.518,      ,,,0,1
