cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,2047,5,0.00,0.28664,0.55166,-0.11961,0.31042
1,2875,55,0.02,0.28980,0.55370,-0.12174,0.31272
2,3922,8,0.00,0.37757,0.61815,-0.02691,0.40488
3,3404,16,0.00,0.17723,0.51180,-0.20864,0.18672
4,3736,6,0.00,0.40680,0.62456,0.00318,0.44091
