cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,293,11,0.04,0.21740,0.50628,-0.04669,0.21506
1,248,1,0.00,0.29599,0.55519,-0.01752,0.33807
2,488,7,0.01,0.32195,0.58575,0.00311,0.34238
3,228,13,0.06,0.23291,0.53599,-0.06555,0.24342
4,436,3,0.01,0.33116,0.59180,-0.00119,0.35283
5,447,4,0.01,0.31653,0.57005,0.00594,0.33645
6,500,58,0.12,0.30563,0.57237,0.00412,0.32087
