,Unnamed: 0,Unnamed: 0.1,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,keep,cluster,silhouette
164,164,164,4241,60,1041,1,3.3777489999999997,4.267716,19.7,-33.7,11.067,10.431,10.374,0.541,      ,,,0,1,0,0.40418771160936207
168,168,168,4246,60,1223,1,3.470822,4.163371,45.5,-34.5,10.454,9.642000000000001,9.568999999999999,0.69,      ,,,0,1,0,0.28480532860028834
169,169,169,4247,60,1232,1,3.406648,4.01909,38.7,-29.4,11.565999999999999,10.645999999999999,10.562999999999999,0.782,      ,,,0,1,0,0.37648049778098536
170,170,170,4248,60,1237,1,3.469706,4.152081,47.5,-36.9,9.302999999999999,8.732999999999999,8.682,0.485,21497,16155.0,10.17,0,1,0,0.23722640551656607
171,171,171,4249,60,1252,1,3.4489699999999996,3.464542,21.4,-40.2,9.986,8.787,8.679,1.0190000000000001,21365,16066.0,3.4,0,1,0,0.3947076455536448
193,195,195,4274,61,391,1,3.133586,6.798755,-7.6,-33.8,11.033,10.292,10.225,0.63,      ,,,0,1,0,0.06722895116006593
194,196,196,4275,61,428,1,3.082841,7.156859,21.6,-29.9,11.58,11.057,11.01,0.445,      ,,,0,1,0,0.4245643613635218
199,201,201,4280,61,491,1,3.015511,5.574651,8.7,-22.8,10.845999999999998,9.014,8.849,1.557,18746,,,0,1,0,0.20246120755229002
210,212,212,4291,61,617,1,3.0032900000000002,5.6137690000000005,-9.5,-30.4,8.987,8.665,8.636000000000001,0.27399999999999997,18666,,,0,1,0,-0.024538400092706775
217,219,219,4298,61,692,1,3.110159,6.9972119999999975,7.5,-22.0,10.031,9.486,9.437000000000001,0.46299999999999997,19311,,,0,1,0,0.16380708696265692
219,221,221,4300,61,751,1,3.069391,5.188717,7.1,-29.8,11.283,10.662,10.606,0.528,      ,,,0,1,0,0.27578536855214614
223,225,225,4304,61,844,1,3.024807,7.174345,45.1,-12.1,12.388,11.42,11.333,0.823,      ,,,0,1,0,0.23677100450373473
228,230,230,4309,61,980,1,3.069238,5.547558,12.2,-14.1,12.177,11.0,10.894,1.0,      ,,,0,1,0,0.03793284695367931
229,231,231,4310,61,983,1,3.0940220000000003,6.1174300000000015,31.0,-6.9,9.442,7.8439999999999985,7.7,1.358,19219,14390.0,3.0,0,1,0,0.19700144106947381
230,232,232,4311,61,986,1,3.047081,5.7483010000000005,37.8,-1.2,9.942,9.27,9.21,0.5710000000000001,18918,,,0,1,0,0.15166206216477982
234,236,236,4315,61,997,1,3.107907,6.59545,33.9,2.9,11.335,10.640999999999998,10.579,0.59,      ,,,0,1,0,0.07087780441291312
240,242,242,4321,61,1028,1,3.092594,6.195501,20.6,-21.5,10.379000000000001,9.786,9.732999999999999,0.504,      ,14384.0,7.56,0,1,0,0.3624096551951824
246,248,248,4327,61,1188,1,3.096002,6.520848,1.4,-23.5,9.435,9.387,9.383,0.040999999999999995,19228,,,0,1,0,0.034765065915010135
247,249,249,4328,61,1197,1,3.1062,5.278523000000002,26.3,-9.2,10.152000000000001,9.707,9.667,0.37799999999999995,19293,14437.0,3.14,0,1,0,0.1982459176746391
249,251,251,4330,62,28,1,3.192127,6.8309630000000015,33.0,-35.9,11.825999999999999,10.363,10.231,1.244,      ,,,0,1,0,0.41237522338880434
250,252,252,4331,62,67,1,3.1975830000000003,7.434022,9.5,-25.3,11.4,10.74,10.681,0.561,      ,,,0,1,0,0.2792860190500751
253,255,255,4334,62,137,1,3.224748,7.07331,37.0,9.3,11.556,10.626,10.542,0.7909999999999999,      ,,,0,1,0,0.02074576377547664
254,256,256,4335,62,169,1,3.17637,7.136260000000001,22.8,-3.0,11.309000000000001,10.578,10.512,0.621,      ,,,0,1,0,0.010426374685843886
256,258,258,4337,62,217,1,3.2944370000000003,7.146965,31.3,-11.8,11.472999999999999,10.148,10.029,1.126,      ,,,0,1,0,0.2799531546401433
258,260,260,4339,62,235,1,3.266845,7.4610179999999975,43.3,-28.6,12.238,10.280999999999999,10.105,1.663,      ,,,0,1,0,0.3444794201858905
260,262,262,4341,62,279,1,3.234486,7.216828,31.4,-41.4,11.905,10.390999999999998,10.255,1.287,      ,,,0,1,0,0.38208120925767625
266,268,268,4347,62,362,1,3.317575,7.423742999999999,-4.7,-33.3,9.674,9.126,9.077,0.466,20590,,,0,1,0,0.11272894689034298
269,271,271,4350,62,389,1,3.2522439999999997,7.101023,46.5,-27.8,9.924,9.008,8.926,0.779,20213,,,0,1,0,0.2581795948500771
