cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,498,2,0.00,0.35922,0.59715,-0.00629,0.37961
1,588,8,0.01,0.33089,0.58043,-0.04398,0.34440
2,429,6,0.01,0.18117,0.47859,-0.17860,0.18626
3,376,17,0.05,0.22957,0.51024,-0.10558,0.22834
4,749,64,0.09,0.27324,0.54612,-0.07687,0.27891
