cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,797,59,0.07,0.26829,0.54021,-0.06146,0.27521
1,601,5,0.01,0.34092,0.58233,0.00909,0.36022
2,593,25,0.04,0.14663,0.45810,-0.17628,0.13880
3,649,8,0.01,0.33237,0.58999,-0.00833,0.34391
