recno;TYCID1;TYCID2;TYCID3;RA_J2000_24;DE_J2000;pmRA;pmDE;BT;VT;V;B-V;HD;HIP;Plx;is_hyades;cluster;silhouette
53373;665;997;1;3.98999;13.733054;5.8;-9.5;8.233;8.151;8.144;0.07;25058;;;0;3;-0.0009220539
53376;665;1046;1;3.961745;14.868662;-9.1;-4.8;9.584;9.253;9.223;0.281;24858;;;0;3;0.1442002383
53378;665;1055;1;3.986331;14.443385;-67.6;-87.6;10.487;9.853;9.796;0.539;      ;;;0;3;0.097359896
53384;665;1175;1;4.082677;14.254358;18.6;-18.5;11.669;10.673;10.583;0.847;286477;;;0;3;0.0475645347
53812;678;84;1;4.109901;14.366671;2.9;-4.3;9.989;9.478;9.432;0.434;      ;;;0;3;0.0948249748
53815;678;128;1;4.11113;14.439752;1.7;16.9;11.612;10.983;10.926;0.535;      ;;;0;3;0.1060541601
53816;678;204;1;4.086123;14.309809;14.8;-56.8;11.564;10.787;10.717;0.66;      ;;;0;3;0.0757269266
53819;678;272;1;4.141919;14.176988;-0.7;-12.3;11.804;10.976;10.901;0.704;      ;;;0;3;0.0555543612
53822;678;353;1;4.116442;14.598803;75.9;-21;11.07;10.518;10.468;0.469;      ;;;0;3;0.130935038
53824;678;415;1;4.147964;14.546775;-1.4;-5.5;11.114;10.262;10.185;0.724;285527;19362;;0;3;0.1094442522
53827;678;443;1;4.190142;14.560183;-11.5;-6.7;10.787;10.313;10.27;0.403;285619;;;0;3;0.125556637
53831;678;494;1;4.113118;14.865703;-2.9;-13.9;11.215;10.402;10.329;0.691;      ;;;0;3;0.1576834727
53836;678;577;1;4.126158;14.986686;20.5;-18.6;9.293;8.828;8.786;0.395;26000;;;0;3;0.180281586
53837;678;615;1;4.109155;14.369561;8.2;-50.7;9.458;8.994;8.952;0.394;25880;;;0;3;0.0939369847
53840;679;119;1;4.315418;14.196464;11.5;-4;10.029;9.649;9.615;0.323;286676;;;0;3;0.06249218
53842;679;124;1;4.225494;14.55745;10.2;-56.1;9.241;8.652;8.599;0.501;26656;;;0;3;0.1300656281
53846;679;213;1;4.216696;14.734203;47.8;-41.1;11.223;10.476;10.409;0.635;      ;;;0;3;0.1494765437
53857;679;459;1;4.218512;14.553369;-3;-2.8;10.051;9.617;9.578;0.369;285621;;;0;3;0.1230949863
53858;679;466;1;4.238354;14.335748;9.5;-4.9;11.268;10.498;10.429;0.655;285624;;;0;3;0.0912936033
53859;679;509;1;4.291663;14.268445;-3.2;6.4;11.081;10.146;10.062;0.795;      ;;;0;3;0.0707172742
53860;679;512;1;4.332206;14.874121;-6.9;-67.6;9.836;9.273;9.222;0.479;27384;;;0;3;0.1641672681
53866;679;631;1;4.233038;14.503542;1;-6.7;10.712;10.164;10.115;0.466;      ;;;0;3;0.1221200095
53868;680;20;1;4.346776;14.62223;-6.7;-16.7;11.423;10.523;10.442;0.765;      ;;;0;3;0.1223288857
53873;680;108;1;4.360522;14.765817;-34.8;-142.6;10.358;9.679;9.618;0.577;      ;;;0;3;0.1598998059
53879;680;212;1;4.421496;14.602867;-10.4;-5.2;10.264;9.67;9.617;0.505;285827;;;0;3;0.0700688364
53882;680;308;1;4.359418;14.834535;126.1;-70.3;10.879;10.135;10.068;0.632;285710;;;0;3;0.1652221796
53884;680;328;1;4.406041;14.711872;-6.3;-12.2;10.527;9.866;9.807;0.562;27849;;;0;3;0.1150966016
53889;680;435;1;4.455511;13.72187;15.2;-36.9;11.057;10.176;10.097;0.749;      ;;;0;3;0.0140847988
53890;680;441;1;4.37627;13.932757;76.3;-104.7;10.087;9.385;9.322;0.597;      ;;;0;3;0.0452181316
53891;680;556;1;4.410644;14.445951;17.1;14;11.046;10.345;10.282;0.596;      ;;;0;3;0.1004006814
53895;680;634;1;4.420998;14.620249;-6.1;-0.3;11.642;11.138;11.093;0.428;285826;;;0;3;0.0397890763
53899;680;719;1;4.41103;13.756835;-18.4;20.4;10.108;9.548;9.498;0.476;      ;;;0;3;-0.0018916877
53904;680;812;1;4.379244;14.251422;83.8;-38.8;10.918;10.332;10.279;0.498;285762;;;0;3;0.0789156698
53907;680;912;1;4.465856;14.178484;-0.8;-19.1;11.967;11.212;11.144;0.642;286781;;;0;3;0.0422239931
53908;680;922;1;4.430025;14.168334;70.2;-50;11.147;10.44;10.376;0.601;      ;;;0;3;0.0614675498
53909;680;939;1;4.407296;13.99665;52.2;-1.4;10.702;10.075;10.019;0.533;      ;;;0;3;0.044384938
53917;681;166;1;4.529074;14.677025;-6;-0.8;10.274;9.508;9.439;0.651;28663;;;0;3;0.0236523198
53919;681;328;1;4.505876;14.611299;16;-36.4;10.262;9.573;9.511;0.586;28504;;;0;3;0.0163325754
53920;681;336;1;4.509335;14.780909;24.4;-12.9;9.894;9.254;9.196;0.544;28528;;;0;3;0.0095740416
53921;681;408;1;4.513596;14.36062;10.8;-32.8;11.41;10.703;10.639;0.601;      ;;;0;3;-0.0072684369
