,recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades
131,4171,59,888,1,3.210338,4.57154,33.0,-51.1,10.899000000000001,10.222000000000001,10.161,0.575,      ,,,0
132,4172,59,944,1,3.270505,4.431768,-3.9,-29.1,11.717,10.753,10.665999999999999,0.8190000000000001,      ,,,0
133,4173,59,1021,1,3.283776,4.320155000000001,24.5,1.9,10.126,9.636000000000001,9.592,0.41700000000000004,      ,,,0
134,4174,59,1059,1,3.3024129999999996,4.287758999999999,22.3,-8.7,11.292,10.655,10.597999999999999,0.541,      ,,,0
135,4175,59,1079,1,3.2119560000000003,3.464817,-49.8,-48.0,10.533,9.902000000000001,9.845,0.536,      ,14950.0,8.05,0
136,4176,59,1107,1,3.2251,3.6385099999999997,5.7,-8.0,9.645,9.13,9.084,0.43799999999999994,20044,,,0
137,4177,59,1172,1,3.313965,4.209601999999999,5.6,19.3,9.865,9.071,9.0,0.675,20580,15427.0,12.22,0
138,4178,59,1219,1,3.2027419999999998,3.744135,13.7,5.1,9.895,9.496,9.46,0.33899999999999997,      ,,,0
139,4179,59,1236,1,3.302377,3.743811,-4.2,-51.3,11.36,10.744000000000002,10.689,0.524,      ,,,0
140,4180,59,1242,1,3.170557,4.887508,0.6,42.8,10.422,9.759,9.699,0.564,      ,,,0
141,4181,59,1251,1,3.214684,3.5851580000000003,-58.4,-22.1,10.583,9.96,9.904,0.53,      ,,,0
142,4182,59,1259,1,3.258736,4.043941,38.2,24.9,10.56,9.972000000000001,9.919,0.5,      ,15169.0,9.03,0
143,4184,59,1328,1,3.3035699999999997,3.670886,11.2,-3.2,9.36,9.219,9.206,0.12,20514,,,0
144,4185,59,1374,1,3.295928,3.6814370000000003,29.7,-57.0,9.097999999999999,7.909,7.8020000000000005,1.011,20469,15333.0,4.56,0
145,4186,59,1402,1,3.224103,4.821219,-3.5,-6.7,11.065,9.626,9.496,1.2229999999999999,      ,,,0
146,4223,60,509,1,3.3680769999999995,4.210593,24.2,8.3,8.958,7.595,7.472,1.159,20884,15687.0,7.18,0
147,4224,60,524,1,3.394165,4.882104,-2.9,-6.1,7.452999999999999,6.4910000000000005,6.404,0.818,21018,15807.0,2.92,0
148,4225,60,543,1,3.420386,4.873637,-3.6,-1.0,11.463,10.88,10.828,0.496,      ,15938.0,3.34,0
149,4226,60,591,1,3.465468,4.3812169999999995,-45.7,-39.1,10.957,10.06,9.979,0.762,      ,,,0
150,4227,60,601,1,3.3544769999999997,3.461001,55.3,-62.7,9.709,8.3,8.173,1.198,20801,,,0
151,4228,60,607,1,3.459522,4.127326,73.2,25.8,9.958,9.436,9.389,0.444,21452,,,0
152,4229,60,681,1,3.412903,4.921645,54.1,-18.1,11.21,9.891,9.772,1.121,      ,,,0
153,4230,60,716,1,3.4770260000000004,4.437005,-5.4,-7.9,11.360999999999999,10.811,10.762,0.46799999999999997,      ,,,0
154,4231,60,760,1,3.461136,4.98926,3.1,-21.2,11.311,10.655,10.595999999999998,0.5579999999999999,      ,16122.0,,0
155,4232,60,797,1,3.478621,4.357107,9.0,-11.8,7.888999999999999,7.696000000000001,7.678999999999999,0.16399999999999998,21555,16201.0,6.59,0
156,4233,60,800,1,3.4906919999999997,4.672699,11.7,-10.1,11.380999999999998,9.75,9.603,1.386,      ,,,0
157,4234,60,836,1,3.436779,4.020786,-8.0,-2.5,11.786,10.552,10.440999999999999,1.0490000000000002,      ,,,0
158,4235,60,845,1,3.3352209999999998,4.242337,-0.3,-15.7,11.282,9.831,9.7,1.2329999999999999,      ,,,0
159,4236,60,849,1,3.3904620000000003,3.7992760000000003,-2.5,-7.1,11.1,10.741,10.709000000000001,0.305,      ,,,0
160,4237,60,858,1,3.4410489999999996,4.058178,21.5,-7.3,11.078,10.177999999999999,10.097000000000001,0.765,      ,,,0
161,4238,60,907,1,3.4956620000000003,3.927625,114.9,-0.5,11.492,10.75,10.683,0.631,      ,,,0
162,4239,60,938,1,3.462082,4.128202,9.3,-6.5,9.216000000000001,8.969,8.947000000000001,0.21,21458,,,0
163,4240,60,969,1,3.355867,4.138365,-1.8,0.9,12.162,10.405,10.247,1.493,      ,,,0
164,4241,60,1041,1,3.3777489999999997,4.267716,19.7,-33.7,11.067,10.431,10.374,0.541,      ,,,0
165,4242,60,1042,1,3.3884559999999997,3.744257,-6.5,-8.8,11.636,10.955,10.894,0.579,      ,,,0
166,4243,60,1074,1,3.4075,3.86455,-13.4,-39.1,9.949,9.55,9.514,0.33899999999999997,      ,15872.0,3.05,0
167,4244,60,1107,1,3.466254,3.9169370000000003,-12.8,-60.7,9.6,8.212,8.087,1.18,21484,,,0
168,4246,60,1223,1,3.470822,4.163371,45.5,-34.5,10.454,9.642000000000001,9.568999999999999,0.69,      ,,,0
169,4247,60,1232,1,3.406648,4.01909,38.7,-29.4,11.565999999999999,10.645999999999999,10.562999999999999,0.782,      ,,,0
170,4248,60,1237,1,3.469706,4.152081,47.5,-36.9,9.302999999999999,8.732999999999999,8.682,0.485,21497,16155.0,10.17,0
171,4249,60,1252,1,3.4489699999999996,3.464542,21.4,-40.2,9.986,8.787,8.679,1.0190000000000001,21365,16066.0,3.4,0
172,4250,60,1286,1,3.3455169999999996,3.9918400000000003,-7.6,-6.1,11.411,10.583,10.508,0.7040000000000001,      ,,,0
173,4251,60,1295,1,3.399425,4.04461,-6.3,30.1,11.367,10.427999999999999,10.343,0.7979999999999999,      ,,,0
174,4252,60,1312,1,3.3731370000000003,3.447258,8.6,-3.2,11.062000000000001,10.357999999999999,10.295,0.598,      ,15711.0,2.06,0
175,4253,60,1464,1,3.4447339999999995,3.7263550000000003,-26.6,-12.0,11.582,10.707,10.628,0.7440000000000001,      ,,,0
176,4254,60,1491,1,3.4200470000000003,3.8863309999999998,55.7,1.0,11.526,11.013,10.967,0.436,      ,,,0
177,4255,60,1499,1,3.3539,3.8568809999999996,60.5,-8.8,9.306000000000001,8.935,8.902000000000001,0.315,20790,15628.0,7.59,0
178,4256,60,1511,1,3.384613,3.867796,99.1,-52.4,12.001,11.119000000000002,11.04,0.75,      ,,,0
179,4258,61,6,1,3.120767,5.019857,-6.7,6.4,10.322000000000001,8.574,8.417,1.486,19392,14496.0,1.27,0
180,4259,61,25,1,3.152925,7.4604289999999995,-5.6,4.3,8.135,7.667000000000001,7.625,0.39799999999999996,19573,14640.0,13.02,0
181,4260,61,30,1,3.160096,5.2028870000000005,72.2,-24.4,8.708,8.027999999999999,7.9670000000000005,0.578,19620,14676.0,13.83,0
182,4261,61,42,1,3.135646,5.525623,4.6,-7.1,11.100999999999999,9.443999999999999,9.295,1.4080000000000001,      ,,,0
183,4262,61,52,1,3.13801,5.26898,-15.6,-26.2,11.455,10.548,10.466,0.7709999999999999,      ,,,0
184,4263,61,54,1,3.156742,5.221347,13.2,1.1,9.911,9.471,9.431000000000001,0.374,      ,,,0
185,4264,61,63,1,3.153364,7.438907,-3.2,5.2,8.321,7.84,7.797000000000001,0.409,19574,,,0
186,4265,61,77,1,3.165664,6.704825,108.0,-56.9,9.086,8.238,8.162,0.721,19638,14702.0,9.95,0
187,4266,61,127,1,3.140241,6.723456,21.5,20.7,8.881,7.751,7.649,0.961,19511,14590.0,5.92,0
188,4267,61,141,1,3.160895,6.300235,-7.1,-38.6,10.865,10.282,10.23,0.496,      ,,,0
189,4268,61,242,1,3.156721,6.408057,-13.1,3.0,10.966,10.605,10.573,0.307,      ,,,0
190,4269,61,255,1,3.127741,6.751557000000001,-15.3,-21.6,11.100999999999999,10.401,10.338,0.595,      ,,,0
191,4270,61,263,1,3.127901,7.245873,3.3,-4.2,9.419,9.042,9.008,0.32,19432,14536.0,6.97,0
192,4271,61,365,1,3.132302,7.256175,4.3,-3.3,8.347000000000001,8.111,8.09,0.201,19462,14556.0,6.61,0
193,4272,61,380,1,3.118799,7.406996,-24.0,-32.9,11.203,10.627,10.575,0.49,      ,,,0
194,4273,61,388,1,3.126224,6.695643,-24.7,-10.2,9.978,9.478,9.433,0.425,19420,,,0
195,4274,61,391,1,3.133586,6.798755,-7.6,-33.8,11.033,10.292,10.225,0.63,      ,,,0
196,4275,61,428,1,3.082841,7.156859,21.6,-29.9,11.58,11.057,11.01,0.445,      ,,,0
197,4276,61,446,1,3.038033,7.473841,-4.9,-6.3,11.605,9.925,9.774,1.4280000000000002,      ,,,0
198,4277,61,456,1,3.106062,7.412658,13.9,-1.8,11.588,10.878,10.814,0.604,      ,,,0
199,4278,61,474,1,3.054082,7.115256,-2.1,4.2,12.437999999999999,10.787,10.638,1.403,      ,,,0
200,4279,61,475,1,3.030296,6.225059,-5.1,-6.6,12.083,11.014000000000001,10.918,0.909,      ,,,0
201,4280,61,491,1,3.015511,5.574651,8.7,-22.8,10.845999999999998,9.014,8.849,1.557,18746,,,0
202,4281,61,501,1,3.072765,6.6495169999999995,6.5,-7.8,10.790999999999999,9.379,9.252,1.2,19081,,,0
203,4282,61,556,1,3.029602,7.277896000000001,-4.9,2.3,10.645999999999999,10.142999999999999,10.097999999999999,0.428,      ,,,0
204,4283,61,561,1,3.073248,6.196601,-2.6,9.5,11.940999999999999,11.534,11.497,0.34600000000000003,      ,,,0
205,4284,61,568,1,3.005589,6.929722,2.2,27.1,11.911,11.365,11.315999999999999,0.46399999999999997,      ,,,0
206,4285,61,573,1,3.0184450000000003,5.0066440000000005,34.7,-54.2,10.02,9.55,9.508,0.39899999999999997,18759,,,0
207,4286,61,575,1,3.020093,5.892373,21.0,18.7,10.819,9.842,9.754,0.83,      ,,,0
208,4287,61,588,1,3.000169,7.102453999999999,40.8,-89.7,10.402999999999999,9.687999999999999,9.624,0.608,      ,13974.0,10.69,0
209,4288,61,602,1,3.082307,6.899995,18.8,15.7,10.815,9.213,9.068999999999999,1.3619999999999999,19138,,,0
210,4289,61,605,1,3.016572,5.593408999999999,67.8,-11.0,11.864,11.277000000000001,11.224,0.499,      ,,,0
211,4290,61,612,1,3.093223,6.913988000000001,-8.2,-6.1,11.505,10.775,10.709000000000001,0.621,      ,,,0
212,4291,61,617,1,3.0032900000000002,5.6137690000000005,-9.5,-30.4,8.987,8.665,8.636000000000001,0.27399999999999997,18666,,,0
213,4292,61,630,1,3.0139709999999997,7.112582000000001,7.2,-2.6,12.159,11.245,11.163,0.777,      ,,,0
214,4293,61,637,1,3.0955049999999997,6.2850269999999995,-10.1,-5.5,11.036,10.65,10.615,0.32799999999999996,      ,,,0
215,4294,61,640,1,3.109352,7.017803999999999,38.3,15.0,11.939,10.389000000000001,10.25,1.318,      ,,,0
216,4295,61,666,1,3.086769,7.212536999999999,-6.5,-6.4,11.174000000000001,9.252,9.079,1.6340000000000001,19168,,,0
217,4296,61,675,1,3.04945,6.069432,12.0,1.2,11.832,11.16,11.1,0.5710000000000001,      ,,,0
218,4297,61,688,1,3.0660119999999997,7.2817050000000005,7.4,2.4,8.469,8.103,8.07,0.311,19042,14266.0,6.98,0
219,4298,61,692,1,3.110159,6.997211999999999,7.5,-22.0,10.031,9.486,9.437000000000001,0.46299999999999997,19311,,,0
220,4299,61,696,1,3.045125,7.066733999999999,3.6,3.4,10.447000000000001,9.939,9.892999999999999,0.43200000000000005,      ,14169.0,4.57,0
