HIP;RA_J2000;DE_J2000;Plx;pmRA;pmDE;Vmag;B-V;is_hyades;cluster;silhouette
21882;4.70417;9.63382;12.76;36.17;-65.16;6.76;0.354;0;0;0.2250980795
20041;4.298208;17.399308;12.74;-4.62;-14.49;8.76;0.586;0;0;0.1050820833
21306;4.573879;12.73421;12.62;22.2;-331.97;9.68;0.6;0;0;0.514793853
24527;5.26203;12.879306;12.54;149.58;-121.02;8.96;0.673;0;0;0.3285904555
20150;4.31918;13.720609;12.47;11;-10.77;7.75;0.458;0;0;0.4521842426
23810;5.117311;16.820465;12.34;55.12;-55.52;10.3;0.821;0;0;0.1343257981
22157;4.76715;11.705591;12.24;67.48;-7.09;5.35;0.197;0;0;0.2172494118
18806;4.029517;13.837334;11.74;-3.34;-88.8;8.28;0.543;0;0;0.2757813021
22712;4.883624;11.267253;11.72;-14.32;-107.08;9.83;0.625;0;0;0.4444843506
22347;4.811465;16.634276;11.55;24.76;-79.26;7.57;0.433;0;0;0.2705880103
25245;5.398301;11.083591;11.5;-15.51;3.81;7.56;0.504;0;0;0.0536618003
22773;4.898789;15.931696;11.37;-6.11;-107.85;7.61;0.523;0;0;0.3330700018
19696;4.219711;16.766833;11.33;147.29;-45.69;9.15;0.64;0;0;0.1275377013
17878;3.82438;12.912177;11.3;-34.22;42.34;9.64;0.682;0;0;0.0480217424
23423;5.034012;16.190695;11.25;14.46;-21.2;8.73;0.509;0;0;0.2120083434
22063;4.745762;14.626802;11.12;11.98;-14.65;8.08;0.47;0;0;0.4913053425
18692;4.004626;14.305905;10.93;54.46;-18.63;8.28;0.487;0;0;0.2115632038
23977;5.15349;11.495265;10.91;-5.98;-23.24;8.31;0.403;0;0;0.1818320043
22851;4.916312;11.942195;10.89;25.59;-27.99;9.62;0.552;0;0;0.4578300659
23492;5.050445;12.059408;10.82;-10.99;46.88;7.24;0.343;0;0;0.2445018338
22458;4.83227;9.489567;10.81;-32.87;-23.82;8.43;0.609;0;0;0.3240405366
19427;4.160582;11.467403;10.76;-13.79;-43;9.14;0.624;0;0;0.1870445351
20457;4.383032;9.40318;10.59;-61.82;65.87;8.03;0.777;0;0;0.1215843546
24010;5.161654;15.597232;10.24;-7.12;-16.14;4.81;0.313;0;0;0.0885597147
24104;5.177769;15.279484;10.09;6.35;-47.47;8.16;0.533;0;0;0.2227167376
19617;4.203574;14.932448;10.08;55.36;-69.45;8.61;0.465;0;0;0.3041170745
17714;3.793972;14.086887;10.08;22.67;-3.62;8.84;0.483;0;0;0.0569887588
23938;5.144234;13.966369;10.06;14.6;-29.3;8.92;0.627;0;0;0.3682611368
23621;5.078279;14.85903;9.98;2.92;-30.31;6.78;0.139;0;0;0.1244213692
22708;4.883108;11.263688;9.92;-15.78;-113.08;10;0.665;0;0;0.4465677109
21332;4.578391;17.748186;9.87;67.96;-33.24;7.91;0.411;0;0;0.2255193549
21453;4.60688;13.122642;9.87;-8.18;-11.75;10.7;0.448;0;0;0.5384229299
23227;4.998103;16.829417;9.76;37.61;4.73;9.32;0.877;0;0;0.175715
18220;3.895928;13.505013;9.72;65.2;-7.31;8.25;0.498;0;0;0.1492975713
24591;5.27507;14.146877;9.68;1.69;-9.62;9.25;0.467;0;0;0.2437316849
22893;4.923966;10.208272;9.66;56.84;-19.85;9.16;0.543;0;0;0.3195232613
18504;3.957022;12.962699;9.64;18.05;22.81;9.56;0.557;0;0;0.1588450085
21684;4.654872;11.26507;9.56;84.37;-58.8;9.68;0.72;0;0;0.4216649734
24249;5.205664;11.362924;9.45;18.33;-4.87;8.67;0.406;0;0;0.1299903521
21194;4.54429;12.216408;9.42;-67.09;-150.2;10.93;0.759;0;0;0.4254904191
22548;4.853292;9.9163;9.41;-38.74;-9.55;9.8;0.643;0;0;0.3604504309
21751;4.670197;16.39865;9.39;-9.63;-3.8;9.7;0.491;0;0;0.3813248331
24693;5.29614;13.639929;9.35;30.19;6.79;8.38;0.405;0;0;0.2467562142
20845;4.467488;10.072161;9.35;-19.6;-19.27;7.46;0.22;0;0;0.1876122934
20597;4.411671;10.046659;9.31;23.43;-51.52;7.22;0.21;0;0;0.1472740466
21873;4.702707;15.969878;9.15;-23.66;-27.58;8.09;0.388;0;0;0.3711658516
23085;4.968476;13.034872;9.08;10.9;-57.38;10.43;0.87;0;0;0.2076394585
21205;4.548882;12.584591;8.96;2.36;8.63;8.72;0.855;0;0;0.362970795
20318;4.352466;10.537737;8.94;-15.95;-3.79;8.14;0.28;0;0;0.1812329309
22012;4.731548;12.6856;8.81;-5.09;-67.86;9.76;0.706;0;0;0.5063745192
18724;4.011338;12.490347;8.81;-8.15;-11.98;3.41;-0.099;0;0;0.0258469829
18864;4.044032;15.062026;8.78;-1.24;-59.67;8.74;0.644;0;0;0.1792992893
24511;5.257541;13.378355;8.64;1.7;-27.84;10.7;0.601;0;0;0.3375798791
22734;4.89102;9.491189;8.46;15.22;8.55;8.61;0.33;0;0;0.06011039
22208;4.776044;14.531678;8.46;10.14;17.52;8.2;0.427;0;0;0.4731192089
21682;4.654299;7.02899;8.32;22.42;-29.45;9.43;0.62;0;0;0.0488142872
19664;4.213176;10.607032;8.29;22.3;-48.92;9.21;0.553;0;0;0.132545012
20522;4.397729;9.460968;8.23;-21.02;-6.65;5.1;0.074;0;0;0.0469272876
21980;4.725153;12.334457;8.22;-22.44;-14.52;9.47;0.689;0;0;0.5070159354
23847;5.126832;15.968104;8.17;-4.78;-28.07;9.59;0.516;0;0;0.1729683774
21954;4.718472;9.620433;8.17;-6.33;4.09;8.63;0.414;0;0;0.2725181062
20253;4.340165;12.39703;8.17;-17.81;-0.75;9.29;0.467;0;0;0.3961428526
21340;4.579251;8.487567;8.12;0.03;-13.21;11.04;0.591;0;0;0.159844681
23597;5.074052;12.165033;8.06;23.95;-13.95;10.53;0.574;0;0;0.4028531981
19821;4.250258;10.748136;8.03;-8.82;-12.37;7.69;0.228;0;0;0.1105212294
20174;4.324601;11.966178;7.98;-3.89;0.78;7.59;0.508;0;0;0.3598066582
20481;4.389621;10.820164;7.94;9.93;-4.23;10.88;0.444;0;0;0.2877940014
24807;5.318358;10.533499;7.9;-20.47;-31.55;8.07;0.529;0;0;0.080674109
20371;4.362595;13.584932;7.87;-4.75;-0.72;7.37;0.172;0;0;0.3460689807
22475;4.835966;10.604856;7.83;17.08;-68.94;7.94;0.41;0;0;0.3096481168
21251;4.55918;18.016722;7.71;12.44;-16.74;6.24;0.077;0;0;0.0645369774
22913;4.930598;15.040278;7.71;-4.54;-11.54;5.79;-0.085;0;0;0.068433929
20782;4.451659;18.210267;7.69;-5.93;-33.28;9.57;0.609;0;0;0.1190623102
22886;4.922802;15.196856;7.68;40.08;-80.35;9.26;0.635;0;0;0.3958607199
23980;5.154058;11.493216;7.68;-6.86;-22.74;8.47;0.41;0;0;0.1887063236
20830;4.464137;10.020904;7.67;3.72;-8.31;8.26;0.442;0;0;0.2507897095
20447;4.380822;9.771325;7.6;14.13;-56.33;8.11;0.457;0;0;0.161688916
23239;5.000436;10.390773;7.59;8.02;-8.01;7.98;0.3;0;0;0.0468164265
21335;4.578787;11.499368;7.55;30.49;0.87;8.55;0.439;0;0;0.4439183509
23162;4.983301;13.690797;7.54;-13.58;-14.73;9.97;0.657;0;0;0.4579481376
18551;3.970282;14.18688;7.51;0.53;-11.72;9.69;0.48;0;0;0.1934762263
23077;4.965489;9.517653;7.45;22.05;1.56;9.41;0.521;0;0;0.2120017578
21432;4.601283;9.204821;7.41;12.77;0.14;9.66;0.538;0;0;0.2535531073
25037;5.361244;12.668312;7.39;5.67;-29.35;7.95;0.351;0;0;0.0761132511
21630;4.644248;17.408091;7.38;12.65;-11.64;7.89;0.403;0;0;0.2506667954
