,Unnamed: 0,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
1276,1276,24435,5.2423129999999984,18.623174,6.21,105.91,-235.74,10.32,0.835,0,0,0.21090881936838052
1878,1878,24121,5.180841,16.428625,4.0,160.3,-219.4,8.6,1.225,0,0,-0.020008293491081196
2048,2048,27182,5.761217,14.68892,3.41,63.15,-189.93,9.05,0.65,0,0,-0.1381469709267232
2446,2446,28887,6.099316,7.317539999999998,1.8,89.2,-243.88,10.31,0.6759999999999999,0,0,0.24597464559427054
32,32,17207,3.686256,3.611378,39.87,-41.66,-236.97,9.61,1.36,1,0,0.10976277732455712
71,71,21132,4.5299010000000015,14.154105,28.36,-330.66,-352.0,10.33,0.4320000000000001,1,0,0.14927256089893215
487,487,20197,4.32906,14.27367,12.93,80.17,-217.4,7.51,0.991,1,0,0.11582206019529871
2,2,27913,5.906384,20.276175,115.43,-163.17,-98.92,4.39,0.594,0,1,0.06992908491994851
5,5,26335,5.608609,11.327866,87.9,-2.56,-57.6,8.78,1.415,0,1,0.07958084290774499
19,19,25716,5.490838,15.577293,57.5,-82.74,-126.92,10.55,1.5,0,1,0.20778604327906422
23,23,19855,4.2571629999999985,6.199651,47.86,-101.62,-112.85,6.94,0.68,0,1,0.1696750134258914
24,24,19859,4.258,6.186858,47.2,-109.37,-108.35,6.32,0.57,0,1,0.1524368323687888
43,43,19990,4.287684,20.578591,34.87,-40.88,-61.45,4.93,0.259,0,1,0.1237967492143927
54,54,23418,5.032999,9.983116,31.2,17.18,-81.96,11.45,1.54,0,1,0.34949221286539034
58,58,17936,3.835802,6.620688,30.74,59.66,-40.52,7.72,0.684,0,1,0.0007111976672402241
63,63,16560,3.553686,7.452864,29.74,-65.97,-70.07,11.17,1.371,0,1,0.1310361769802176
64,64,21436,4.603877,21.536545,29.69,19.29,-41.36,7.58,0.685,0,1,-0.037946921580462596
67,67,19911,4.271248,7.159467,28.69,-90.8,-42.66,7.5,0.6609999999999999,0,1,-0.03182822970353594
82,82,22845,4.914924,10.150833,27.04,40.08,-128.37,4.64,0.085,0,1,0.3401580231690155
90,90,23443,5.038974,13.91024,26.0,-10.32,-100.57,7.51,0.615,0,1,0.36575893574863316
92,92,13750,2.950176,10.16204,25.66,-61.71,-76.05,7.9,0.604,0,1,0.1704559461454679
113,113,23396,5.028951,20.829845,24.38,-65.85,-92.74,7.99,0.74,0,1,0.21703031927130156
121,121,21186,4.54179,4.139537000000002,24.04,51.61,-162.12,11.03,1.51,0,1,0.2525870923385463
136,136,22067,4.746714,5.289432,23.43,-116.07,-43.76,8.09,0.8640000000000001,0,1,-0.020638665866268648
148,148,21380,4.588119,23.045169,23.09,-13.35,-67.89,8.91,0.77,0,1,0.2593980613772662
151,151,13678,2.936663,13.913012,23.04,-82.41,-72.34,9.03,0.81,0,1,0.1161002741718471
170,170,13679,2.937158,8.381563,22.46,69.83,-88.32,5.97,0.478,0,1,0.14677819248343948
174,174,18471,3.947799,22.477971,22.31,69.43,-114.82,5.62,0.345,0,1,0.17957895462780255
179,179,24681,5.294716,7.353343,22.22,-3.74,-148.69,7.31,0.6609999999999999,0,1,0.3305398862944411
198,198,21402,4.594239,10.16079,21.68,44.89,-52.42,4.25,0.184,0,1,0.14808797463792397
200,200,28734,6.068671,23.263341,21.64,-2.6,-119.72,4.16,0.835,0,1,0.36818995599953297
203,203,24558,5.269158,16.942417000000006,21.55,-148.64,-161.3,10.5,1.09,0,1,0.1464246613799984
206,206,21673,4.65256,15.799846,21.49,32.4,-77.67,5.08,0.141,0,1,0.3485088017711616
252,252,25127,5.378533999999998,13.229082,20.54,15.31,-45.45,9.15,0.706,0,1,0.0295066293076949
255,255,14711,3.167813,12.996819,20.47,-120.41,-164.81,11.13,1.01,0,1,0.17888433288514075
259,259,14809,3.187178,22.415865,20.24,56.04,-125.11,8.51,0.71,0,1,0.28743771993792544
269,269,25195,5.390704,16.981491000000002,19.97,6.43,-152.28,8.11,0.606,0,1,0.3311900092927109
285,285,21788,4.680297,23.809625,19.48,63.12,-48.26,8.84,0.688,0,1,0.08373497059550636
296,296,22957,4.939521,13.514466,19.26,-77.77,-45.97,4.06,1.158,0,1,-0.02385654784827001
297,297,21926,4.714519,18.144884,19.22,61.63,-121.96,10.27,0.818,0,1,0.25007442016438497
298,298,14974,3.217248,20.729908,19.2,-44.39,-65.23,8.65,0.617,0,1,0.15178796658450738
299,299,15381,3.3055510000000004,18.171623,19.19,-82.92,-103.63,7.52,0.642,0,1,0.19955318986016146
305,305,24883,5.334335,13.544989,18.93,-20.2,-89.59,7.5,0.561,0,1,0.33949556079636156
306,306,14810,3.187286,21.097359,18.91,-3.01,-53.57,8.52,0.777,0,1,0.13676255323483094
309,309,17305,3.704422,22.786456,18.79,21.57,-75.5,7.4,0.428,0,1,0.3588949299539329
318,318,26382,5.617704,17.040324,18.56,42.9,-34.86,5.53,0.237,0,1,-0.10451232414956503
321,321,24660,5.291872,14.514041,18.54,11.69,-74.92,8.54,0.667,0,1,0.36021401310813295
322,322,25082,5.36978,5.3953050000000005,18.46,49.12,-50.64,7.01,0.516,0,1,0.11611190753619613
330,330,16538,3.549315,16.598428,18.16,-22.39,-96.1,7.03,0.503,0,1,0.34469678124592024
337,337,26689,5.671563,16.39282,17.82,56.67,-162.29,7.36,0.524,0,1,0.23277946287915466
338,338,24180,5.191947,5.70321,17.75,60.65,-139.87,7.88,0.522,0,1,0.23770664216208567
339,339,25586,5.468329,22.93046,17.69,-119.41,-81.74,8.67,0.6890000000000001,0,1,0.09226209462598045
345,345,25034,5.360862,15.84707,17.48,-31.09,-46.38,7.71,0.481,0,1,-0.05039121629182481
350,350,18609,3.982077,16.903445,17.31,78.71,-144.74,8.89,0.784,0,1,0.11151559023326052
358,358,22938,4.935825,7.904696,17.02,-92.81,-42.94,6.42,0.415,0,1,-0.03557904344315384
359,359,19532,4.184604,8.539482000000001,17.01,34.13,-47.82,11.74,1.3159999999999998,0,1,0.09477063291677928
360,360,18700,4.0062190000000015,10.787605,16.97,-15.67,-169.81,9.33,0.5579999999999999,0,1,0.29743748955321303
361,361,23789,5.1119650000000005,14.084778,16.9,-15.21,-121.23,7.3,0.5589999999999999,0,1,0.35712814251192426
362,362,23879,5.131359,8.498429,16.84,34.96,-59.49,5.33,0.338,0,1,0.23921214291242784
366,366,21672,4.6524,13.002983,16.77,-43.12,-64.17,7.2,0.429,0,1,0.14476690045665744
