cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,2169,56,0.03,0.36304,0.61906,-0.02413,0.39208
1,3775,2,0.00,0.36824,0.60825,-0.03116,0.40276
2,1897,7,0.00,0.29520,0.57293,-0.10337,0.32036
3,1755,19,0.01,0.18623,0.47970,-0.16258,0.18712
4,2632,1,0.00,0.23953,0.51883,-0.15254,0.25116
5,3756,5,0.00,0.37967,0.62392,-0.00686,0.40868
