cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,1629,4,0.00,0.29991,0.56834,-0.10688,0.32091
1,1741,7,0.00,0.23583,0.51598,-0.20664,0.24917
2,1694,71,0.04,0.23212,0.50871,-0.11414,0.24055
3,2090,0,0.00,0.37428,0.59872,0.02282,0.40583
4,2152,2,0.00,0.23056,0.52024,-0.15651,0.24000
5,2450,4,0.00,0.28603,0.51217,-0.04042,0.29374
6,2091,1,0.00,0.25263,0.51659,-0.05497,0.25605
7,2137,1,0.00,0.20381,0.45660,-0.16803,0.21613
