cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,344,54,0.16,0.26586,0.53842,0.00401,0.25451
1,420,14,0.03,0.30426,0.53584,-0.06101,0.33906
2,247,2,0.01,0.27942,0.54220,-0.09122,0.28492
3,325,1,0.00,0.35893,0.56992,0.00235,0.40127
4,394,5,0.01,0.30235,0.54539,-0.06289,0.32208
5,287,20,0.07,0.16765,0.50881,-0.15802,0.16933
6,229,0,0.00,0.30221,0.56092,-0.15090,0.34381
7,394,1,0.00,0.30440,0.52783,-0.06215,0.34039
