cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,3708,55,0.01,0.25945,0.54606,-0.17459,0.27423
1,4499,10,0.00,0.36457,0.59403,-0.04883,0.40004
2,3701,19,0.01,0.17038,0.48332,-0.22439,0.17745
3,4076,6,0.00,0.42356,0.62909,0.02863,0.46345
