,HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades
77,19767,4.238415,12.348101,27.98,341.22,-59.45,6.74,0.677,0
78,18975,4.065723,8.197269,27.8,168.35,27.98,5.45,0.371,0
79,22919,4.932189,4.670427,27.78,134.42,-183.5,7.02,0.561,0
80,19591,4.198951,23.636326,27.21,137.76,-54.42,9.38,1.09,0
81,17076,3.659333,18.384913,27.18,188.2,-193.16,8.24,0.81,0
82,22845,4.914924,10.150833,27.04,40.08,-128.37,4.64,0.085,0
83,19719,4.225862,7.716044999999999,27.04,-3.99,4.45,5.29,0.366,0
84,20441,4.379106,16.79104,26.96,173.3,4.67,7.86,0.677,1
85,17928,3.8342949999999996,22.591635,26.91,155.06,-63.56,7.29,0.5379999999999999,0
86,26807,5.692887000000001,15.213698999999998,26.51,74.64,-199.6,7.67,0.6920000000000001,0
87,18322,3.917066,12.485588,26.49,127.58,-9.65,10.12,1.07,0
88,19912,4.271826,8.719430000000001,26.49,-85.23,-314.09,9.84,1.148,0
89,22221,4.779326999999999,9.01742,26.26,89.03,-16.73,7.24,0.56,0
90,23443,5.038974,13.91024,26.0,-10.32,-100.57,7.51,0.615,0
91,19554,4.188967,5.523047,25.89,146.86,5.0,5.71,0.36,1
92,13750,2.950176,10.16204,25.66,-61.71,-76.05,7.9,0.604,0
93,28736,6.066376,23.007963,25.57,-39.34,-349.47,11.04,1.26,0
94,21158,4.5355300000000005,21.632358,25.55,-0.39,-2.75,7.08,0.6409999999999999,0
95,20084,4.305758,20.360547,25.45,-51.18,27.58,10.46,1.285,0
96,18658,3.994582,10.330402000000001,25.42,133.06,-3.5,6.35,0.41700000000000004,1
97,18907,4.052606,5.989305,25.24,5.52,-1.63,3.91,0.032,0
98,16908,3.626382,21.343173999999998,25.23,141.55,-27.39,9.35,0.917,0
99,28135,5.946753,10.479253,25.08,98.61,-211.1,9.85,1.103,0
100,21256,4.560328,21.150854000000002,24.98,109.3,-45.31,10.69,1.237,0
101,19316,4.14074,12.19184,24.9,115.35,-13.05,11.28,1.327,0
102,15020,3.226809,7.708675,24.82,-130.88,-300.64,11.9,1.44,0
103,18018,3.850865,23.903655,24.72,150.93,-46.61,10.17,1.16,0
104,20978,4.499369000000001,16.67284,24.71,105.04,-28.33,9.08,0.865,1
105,15875,3.407948,6.985016000000001,24.7,-25.72,-30.67,10.28,1.28,0
106,18253,3.9044449999999995,8.55867,24.61,238.12,-67.02,11.94,1.46,0
107,28813,6.082843,14.388435000000001,24.56,84.66,-188.03,6.72,0.508,0
108,15374,3.3041940000000003,9.24515,24.54,123.52,15.81,11.91,1.341,0
