,n,identifier,prob_member,Otype,RA,RA_J2000,DE,DE_J2000,Sp_type,idHip,rac,dec,dist,cercanaHip
6,7,HD 30869,100,* ,04 51 49.9877,4.8638900000000005,+13 39 18.5484 ,13.6552,F5 ,HD 30869,31.0,24.0,4.5177427994197433e-05,22607
73,75,V* V1116 Tau,100,dS* ,04 36 29.1383,4.60809,+23 20 27.0897 ,23.3409,F5IV ,,27.0,47.0,4.5177427995966804e-05,21459
104,106,* 45 Tau,100,*i* ,04 11 20.2816,4.1889699999999985,+05 31 22.9778 ,5.523,F4V ,,20.0,5.0,4.7095647357588205e-05,19554
87,89,HD 26345,100,*iC ,04 10 42.3640,4.1784300000000005,+18 25 23.7108 ,18.4233,F6V ,HD 26345,20.0,35.0,4.726520919438864e-05,19504
173,178,HD 20439,100,*iC ,03 17 32.7814,3.29244,+07 41 24.5557 ,7.6902,G0 ,HD 20439,7.0,10.0,4.8010415536238125e-05,15310
168,172,HD 27848,100,*iC ,04 24 22.2714,4.4061900000000005,+17 04 44.2289 ,17.079,F8 ,HD 27848,24.0,32.0,4.9091750835190634e-05,20567
133,135,LP 414-2008,75,LM? ,04 17 32.2400,4.29229,+16 56 59.1 ,16.9498,~ ,,22.0,32.0,0.002688323083260973,20019
52,54,[BKM2008] HC10c10-1796l,25,* ,04 18 27.0000,4.3075,+17 24.7 ,17.4117,~ ,,22.0,33.0,0.010037846482190705,20086
118,120,2MASS J04342103+1451171,75,LM? ,04 34 21.0400,4.57251,+14 51 17.2 ,14.8548,~ ,,26.0,27.0,0.013328590773221728,21273
116,118,2MASS J04172478+1634364,75,BD* ,04 17 24.7870,4.29022,+16 34 36.48 ,16.5768,M8 ,,22.0,31.0,0.01387501531530638,20011
92,94,2MASS J04263219+1800280,25,* ,04 26 32.2000,4.44228,+18 00 28.0 ,18.0078,~ ,,24.0,34.0,0.015605396118009781,20679
17,18,[BKM2008] HC13c09-1062l,25,* ,04 27 30.0000,4.45833,+13 51.1 ,13.8517,~ ,,24.0,25.0,0.01885121547805497,20850
9,10,Cl* Melotte 25 LH 117,25,*iC ,04 26 47.9200,4.44664,+14 11 59.7 ,14.1999,~ ,,24.0,26.0,0.020856688615404944,20740
153,156,[BKM2008] HC21c11-74l,25,* ,04 36 46.1000,4.61281,+14 19 37 ,14.3269,~ ,,27.0,26.0,0.027919428146005617,21542
117,119,2MASS J04304258+1439416,75,LM? ,04 30 42.5900,4.511830000000002,+14 39 41.6 ,14.6616,~ ,,25.0,27.0,0.02927357432907873,21090
28,30,[BKM2008] HC15c10-170l,25,* ,04 33 31.0000,4.55861,+14 09.7 ,14.1617,~ ,,26.0,25.0,0.02969664469262408,21132
46,48,V* V997 Tau,100,BY* ,04 32 59.4482,4.54985,+15 49 08.292 ,15.819,G5 ,,26.0,29.0,0.03760078770451487,21137
129,131,[BKM2008] HA9Ic02-266l,25,* ,04 28 27.5000,4.47431,+15 42 23 ,15.7064,~ ,,25.0,29.0,0.03927592761476188,21039
152,155,2MASS J04303535+1445320,25,* ,04 30 35.3500,4.50982,+14 45 32.0 ,14.7589,~ ,,25.0,27.0,0.04080176325846703,20873
142,144,2MASS J04204957+1553323,25,* ,04 20 49.5700,4.3471,+15 53 32.3 ,15.8923,~ ,,23.0,30.0,0.04159656001401976,20290
42,44,Cl* Melotte 25 VA 241,0,*iC ,04 22 32.7000,4.37575,+15 51 24.9 ,15.8569,~ ,,23.0,29.0,0.04160728211503385,20605
71,73,[BKM2008] HA9Ic06-243s,25,* ,04 27 04.7000,4.4513099999999985,+15 24 29 ,15.4081,~ ,,24.0,28.0,0.04342973050802817,20810
77,79,Cl* Melotte 25 LH 111,25,*iC ,04 27 18.7000,4.45519,+13 55 07.8 ,13.9188,~ ,,24.0,25.0,0.04433878674479056,20952
41,43,[BKM2008] HA8Ic00-3532l,25,* ,04 23 50.0000,4.39722,+16 50.2 ,16.8367,~ ,,23.0,32.0,0.04605331133588495,20719
99,101,[BKM2008] HA10c04-641l,25,* ,04 25 24.0000,4.42333,+15 39.7 ,15.6617,~ ,,24.0,29.0,0.04620751508142425,20713
169,173,[BKM2008] HB17c06-999l,25,* ,04 30 13.2000,4.50367,+16 43 09 ,16.7192,~ ,,25.0,31.0,0.046559082905486736,20978
70,72,Cl* Melotte 25 VA 273,25,*iC ,04 23 25.8100,4.3905,+17 53 45.7 ,17.896,~ ,,23.0,34.0,0.04686926862028002,20648
136,138,[BKM2008] HB1Ic03-1536l,25,* ,04 26 20.8000,4.43911,+17 28 22 ,17.4728,~ ,,24.0,33.0,0.04721195823094024,20542
75,77,[BKM2008] HA12c07-101l,25,* ,04 26 12.8000,4.43689,+14 50 29 ,14.8414,~ ,,24.0,27.0,0.048112088169191006,20898
161,165,2MASS J04190576+1734235,75,LM? ,04 19 05.7700,4.31827,+17 34 23.5 ,17.5732,~ ,,22.0,33.0,0.04845497953771112,20146
66,68,LP 415-35,75,LM? ,04 23 12.4600,4.38679,+15 42 46.3 ,15.7129,~ ,,23.0,29.0,0.05033946488591345,20485
102,104,[BKM2008] HB2Ic07-287l,25,* ,04 26 50.2000,4.44728,+17 39 30 ,17.6583,~ ,,24.0,34.0,0.053054414114189034,20971
19,21,[BKM2008] HB12c10-1327l,25,* ,04 30 52.0000,4.5144400000000005,+14 26.7 ,14.445,~ ,,25.0,26.0,0.05815461615383551,20827
51,53,[BKM2008] HC19c03-2076l,25,* ,04 29 21.0000,4.48917,+13 40.2 ,13.67,~ ,,25.0,24.0,0.058390061525913715,21036
132,134,Cl* Melotte 25 CFHT 20,75,LM? ,04 30 38.7000,4.51075,+13 09 57 ,13.1658,~ ,,25.0,23.0,0.06038227641452465,21179
53,55,[BKM2008] HC13c00-520l,25,* ,04 25 52.9000,4.43136,+14 06 11 ,14.1031,~ ,,24.0,25.0,0.06068668645592619,20527
122,124,[BKM2008] HB9Ic07-234l,25,* ,04 23 27.0000,4.39083,+14 17.4 ,14.29,~ ,,23.0,26.0,0.06389211062408216,20197
156,159,Cl* Melotte 25 VA 477,25,*iC ,04 28 14.2000,4.47061,+16 58 00 ,16.9667,~ ,,25.0,32.0,0.06609036202806164,20756
11,12,[BKM2008] HB7Ic08-324l,25,* ,04 21 33.0000,4.35917,+15 09.8 ,15.1633,~ ,,23.0,28.0,0.0696511156335636,20261
5,6,[BKM2008] HA2Ic03-781s,75,LM? ,04 27 06.6000,4.45183,+16 25 46 ,16.4294,~ ,,24.0,31.0,0.0731652118701243,20877
27,29,[BKM2008] HA1Ic09-735l,25,* ,04 27 20.4000,4.45567,+15 48 00 ,15.8,~ ,,24.0,29.0,0.07422927310030579,20894
