cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,670,7,0.01,0.30933,0.57009,0.00287,0.31926
1,553,25,0.05,0.16044,0.45221,-0.11057,0.15242
2,647,6,0.01,0.31475,0.57082,0.00639,0.33059
3,770,59,0.08,0.28912,0.54753,-0.02448,0.30138
