HIP,RA_J2000,DE_J2000,Plx,pmRA,pmDE,Vmag,B-V,is_hyades,cluster,silhouette
16924,3.629953,15.430552,13.52,22.43,-29.51,6.4,0.167,0,1,0.338603652
17832,3.815817,23.857135,13.44,46.92,-56.45,6.47,0.377,0,1,0.4396684982
17453,3.741168,20.928737,13.39,26.61,-13.8,6.09,0.028,0,1,0.4406311285
21257,4.56058,16.323339,13.36,14.41,-16.56,6.58,0.188,0,1,0.1121317336
17174,3.678055,18.100595,13.23,-83.83,-64.7,9.19,0.737,0,1,0.3028992571
19797,4.243199,22.351182,12.84,425.56,-301.97,9.23,0.362,0,1,0.3112798798
20041,4.298208,17.399308,12.74,-4.62,-14.49,8.76,0.586,0,1,0.3241778324
14908,3.206874,22.880583,12.61,-10.53,34.93,8.82,0.559,0,1,0.4110931677
15961,3.425265,17.142616,12.47,197.63,-65.59,9.43,0.7,0,1,0.3187232114
19175,4.110386,19.152915,12.47,29.44,64.6,7.48,0.379,0,1,0.4512662895
20150,4.31918,13.720609,12.47,11,-10.77,7.75,0.458,0,1,0.1487741555
14098,3.03072,16.518033,12.33,183.55,-59.25,8.24,0.504,0,1,0.3047650004
20171,4.323916,21.142307,12.2,29.49,-42.73,5.5,-0.069,0,1,0.1927325645
15134,3.252127,16.303396,12.13,133.29,-78.41,8.83,0.67,0,1,0.27882586
18909,4.05283,18.668745,12.03,-2.04,-10.13,9,0.647,0,1,0.4270700414
20369,4.361813,19.468545,11.96,-38.01,5.24,8.37,0.445,0,1,0.2858990126
14132,3.037661,18.329183,11.94,114.8,-62.11,9.6,0.655,0,1,0.3230004401
17763,3.802942,21.329068,11.94,-6.77,-13.96,7.97,0.231,0,1,0.4939107062
17148,3.672656,21.40574,11.88,-31.62,6.78,7.16,0.311,0,1,0.5334356191
18806,4.029517,13.837334,11.74,-3.34,-88.8,8.28,0.543,0,1,0.1257905204
16896,3.622969,18.596885,11.73,142.33,-4.15,8.73,0.518,0,1,0.5381265446
18833,4.037577,22.422309,11.47,-68.93,-50.78,7.82,0.456,0,1,0.4188151316
14715,3.168485,21.747143,11.4,29.57,-8.16,7.53,0.293,0,1,0.5248501518
19696,4.219711,16.766833,11.33,147.29,-45.69,9.15,0.64,0,1,0.3530843992
17552,3.758885,21.246693,11.21,19.02,-47.65,7.75,0.179,0,1,0.4890589216
18096,3.868058,18.134833,11.19,69.95,-23.15,9.35,0.612,0,1,0.4686683902
13914,2.986868,21.340429,11.15,-13.04,-6.55,4.63,0.048,0,1,0.4470957358
16359,3.512622,14.296161,11.14,34.39,28.18,8.67,0.636,0,1,0.1037698301
16399,3.519284,13.575851,11.11,4.91,-106.95,8.77,0.504,0,1,0.0513754325
20785,4.452053,20.990885,11.09,10.22,-51.36,8.57,0.797,0,1,0.1060362167
16748,3.591141,14.174846,11.04,-39.08,-78.47,9.87,0.58,0,1,0.1225199841
16532,3.548234,15.549809,10.98,28.1,58.45,8.52,0.2,0,1,0.3443944883
13913,2.986221,19.989837,10.94,51.89,-25.89,7.34,0.396,0,1,0.465572481
18692,4.004626,14.305905,10.93,54.46,-18.63,8.28,0.487,0,1,0.2157055627
18595,3.978901,17.119018,10.93,28.82,-61.13,8.3,0.498,0,1,0.4911756139
19093,4.093544,19.955018,10.87,13.54,2.33,8.29,0.41,0,1,0.4534549748
16374,3.515583,18.799418,10.83,131.32,-70.85,8.12,0.58,0,1,0.4817775096
15870,3.407255,20.803489,10.76,2.55,-9.84,6.07,-0.028,0,1,0.4585069919
16813,3.606762,20.067612,10.69,95.66,-50.3,7.47,0.502,0,1,0.5454440446
19763,4.23749,18.894007,10.63,19.35,-11.38,8.14,0.374,0,1,0.3810599862
14751,3.174373,15.990505,10.57,-3.48,48.03,7.9,0.343,0,1,0.321951293
19975,4.283673,19.675685,10.42,3.48,-103.1,7.12,0.444,0,1,0.3445908905
13579,2.915333,17.734755,10.41,44.58,-24.46,7.01,0.28,0,1,0.3696276809
20186,4.326863,21.773491,10.32,29.77,-41.39,5.34,-0.107,0,1,0.1752924441
18266,3.907731,21.389759,10.26,19.84,-41.69,10.96,0.737,0,1,0.315470452
17944,3.837005,16.000352,10.22,33.95,-0.93,8.55,0.41,0,1,0.4173307222
17921,3.831965,22.244151,10.14,23.88,-45.9,6.05,-0.006,0,1,0.3882834155
14554,3.131174,23.687926,10.13,35.43,-50.02,7.97,0.32,0,1,0.4786116153
17892,3.827272,22.533483,10.12,17.8,-45,7.01,0.033,0,1,0.3988501185
17481,3.745793,20.748003,10.1,16.68,-44.35,8.7,0.394,0,1,0.5461982096
19617,4.203574,14.932448,10.08,55.36,-69.45,8.61,0.465,0,1,0.2984419228
17714,3.793972,14.086887,10.08,22.67,-3.62,8.84,0.483,0,1,0.1717683782
17837,3.816723,21.342187,10.02,-11.79,0.59,8.11,0.528,0,1,0.5131846608
17511,3.749701,22.032454,10,18.31,-42.76,9.49,0.489,0,1,0.5134035663
20136,4.316997,21.299337,9.99,37.36,-40.48,8.2,0.45,0,1,0.2878612317
16753,3.592138,22.823588,9.98,23.92,-44.12,9.86,0.54,0,1,0.4753575763
17091,3.661438,23.290875,9.97,23.15,-46.14,9.94,0.608,0,1,0.4190892711
21332,4.578391,17.748186,9.87,67.96,-33.24,7.91,0.411,0,1,0.0902641176
17694,3.789694,22.922122,9.87,19.74,-45.2,8.17,0.255,0,1,0.4620886984
17999,3.847896,23.96147,9.83,16.8,-45.76,6.95,0.078,0,1,0.37438729
19420,4.159164,17.499374,9.81,36.08,-22.96,9.11,0.518,0,1,0.4240402545
15153,3.255201,14.303084,9.77,11.85,-28.15,8,0.615,0,1,0.0809872591
17497,3.747566,23.268923,9.76,22.71,-43.67,8.98,0.403,0,1,0.4769113687
17489,3.746727,24.28947,9.75,20.73,-44,5.45,-0.034,0,1,0.3549892568
18220,3.895928,13.505013,9.72,65.2,-7.31,8.25,0.498,0,1,0.0814065279
17572,3.76356,23.147149,9.68,21.06,-44.49,6.85,0.06,0,1,0.4090978327
18544,3.967137,20.676803,9.68,20.59,-49.46,9.4,0.518,0,1,0.4872351024
19187,4.112298,17.663433,9.64,35.87,-25.72,8.44,0.502,0,1,0.4508592801
17776,3.805782,23.42125,9.64,19.14,-46.8,5.44,-0.067,0,1,0.3501910145
15110,3.24836,21.044441,9.59,-29.83,-77.15,4.87,-0.007,0,1,0.4689938053
14929,3.209142,18.943572,9.58,12.22,-22.94,8.42,0.526,0,1,0.4675598297
16095,3.455188,12.735289,9.58,11.44,-7.54,6.29,-0.025,0,1,0.074176489
19072,4.087606,23.797222,9.57,-0.79,-14.19,8.26,0.498,0,1,0.3444755043
16440,3.528454,23.649545,9.52,55.49,40.92,8.07,0.476,0,1,0.4827023827
19586,4.197592,24.430797,9.48,31.88,-32.74,8.93,0.438,0,1,0.270767954
17401,3.728204,23.64915,9.48,20.36,-45.1,7.93,0.347,0,1,0.4640039539
19358,4.147084,17.291657,9.37,14.44,-40.14,7.64,0.156,0,1,0.3748274452
17225,3.689713,23.486938,9.21,22.49,-44.32,9.17,0.437,0,1,0.4795523581
20994,4.502223,20.876599,9.16,23.79,14.4,9.73,0.512,0,1,0.1205866993
17608,3.772104,23.948358,9.08,21.17,-42.67,4.14,-0.051,0,1,0.3522291204
17573,3.76378,24.367749,9.06,21.09,-45.03,3.87,-0.063,0,1,0.3405608913
17704,3.791515,24.288344,9.05,17.84,-44.94,6.83,0.066,0,1,0.3753341345
17232,3.690505,14.888624,8.99,13,-7.57,9.66,0.489,0,1,0.2712844214
16241,3.488774,16.198359,8.91,23.32,-39.84,8.33,0.465,0,1,0.3884732674
