cluster,total samples,total hyades,hyades density,silh. mean,silh. max,silh. min, silh. median
0,504,11,0.02,0.32072,0.57002,0.01829,0.32985
1,537,7,0.01,0.31167,0.56617,-0.01320,0.34400
2,569,50,0.09,0.27786,0.53583,-0.03311,0.28556
3,550,6,0.01,0.30491,0.55842,-0.00250,0.31920
4,480,23,0.05,0.15864,0.47255,-0.14060,0.14808
