recno,TYCID1,TYCID2,TYCID3,RA_J2000_24,DE_J2000,pmRA,pmDE,BT,VT,V,B-V,HD,HIP,Plx,is_hyades,cluster,silhouette
103586,1266,1012,1,4.547253,16.005812,98.1,-29.3,10.108,9.02,8.922,0.925,28783,,,0,3,0.4859122286
103592,1266,1175,1,4.601462,15.684006,91.3,-24.8,10.586,9.453,9.351,0.963,29159,,,0,3,0.4864307535
103596,1266,1286,1,4.549847,15.81897,93.7,-24.7,9.565,8.734,8.659,0.706,28805,,,0,3,0.4934332234
103628,1267,1186,1,4.78512,15.728285,63.1,-21.6,11.154,10.121,10.028,0.878,      ,,,0,3,0.230495338
103663,1269,57,1,4.466379,18.500253,102.9,-33.1,11.499,10.31,10.203,1.011,285766,,,0,3,0.4531676185
103665,1269,128,1,4.416733,16.984882,94,-28.6,11.612,10.53,10.433,0.92,285742,,,0,3,0.4824225458
103702,1269,1102,1,4.431515,17.447637,54.2,-10,7.969,7.575,7.54,0.335,28007,,,0,3,0.0499798431
103753,1270,1300,1,4.640266,17.542427,90.9,-34.6,11.786,10.218,10.077,1.333,285947,,,0,3,0.4301610409
103785,1271,879,1,4.721028,17.069105,100,-33.1,11.107,10.033,9.936,0.913,      ,,,0,3,0.4554038353
103808,1272,67,1,4.321307,19.724562,54.7,-18.1,9.065,8.515,8.466,0.467,27281,,,0,3,0.0234092503
103814,1272,204,1,4.280903,19.94691,45.3,0.3,10.137,8.57,8.429,1.332,27006,,,0,3,-0.1612889899
103826,1272,436,1,4.290026,19.761672,52,-40.3,11.07,10.333,10.267,0.626,      ,,,0,3,-0.1453883715
103855,1272,945,1,4.389383,20.584315,55.1,-22.1,10.763,10.047,9.983,0.609,      ,,,0,3,0.0134429695
103871,1273,245,1,4.425665,19.766172,71.9,83.7,10.22,9.532,9.47,0.585,284467,,,0,3,0.119197088
103928,1274,1204,1,4.544707,19.113466,92.3,-34.6,11.807,10.662,10.559,0.973,285836,,,0,3,0.430933513
104004,1275,1306,1,4.724254,19.299529,51.7,-34.7,11.603,11.101,11.056,0.427,      ,,,0,3,-0.1415782831
104107,1277,1068,1,4.531879,21.635726,51,16.7,9.372,8.92,8.879,0.384,28662,,,0,3,0.0540838265
104230,1279,1703,1,4.76648,21.263835,86.8,-32.1,10.472,9.543,9.459,0.79,30169,,,0,3,0.4361612974
104233,1279,1877,1,4.71843,20.629998,64.2,19.5,9.293,8.723,8.672,0.484,29860,21953,11.51,0,3,0.2499270663
104240,1279,2259,1,4.785814,20.882303,96.1,-50.3,11.23,9.908,9.789,1.124,284785,,,0,3,0.249648985
104241,1280,58,1,4.83353,16.412099,82.7,-25.8,12.207,11,10.891,1.026,      ,,,0,3,0.4416448888
104266,1280,681,1,4.814357,15.947535,70.1,-21.3,10.73,9.764,9.677,0.821,      ,,,0,3,0.3432639655
104304,1281,308,1,4.986206,16.071683,74.3,-43,11.231,10.271,10.185,0.816,      ,,,0,3,0.2209979634
104424,1282,1299,1,5.081581,15.325067,59.8,-33.5,11.785,10.523,10.409,1.073,      ,,,0,3,0.0953336985
104600,1285,1077,1,5.0616,18.322117,58.8,-9.7,11.873,10.956,10.873,0.779,      ,,,0,3,0.1698088653
104808,1288,1591,1,4.916212,19.48539,63.6,-27.9,6.7,6.389,6.361,0.264,31236,22850,14.67,0,3,0.198113252
104843,1289,1220,1,4.997084,19.966765,64.6,-26.5,10.529,9.763,9.694,0.651,285083,,,0,3,0.2283962788
104953,1291,1273,1,5.269045,19.182315,83.7,-19.6,11.726,10.784,10.699,0.801,      ,,,0,3,0.4577197623
105055,1293,2672,1,5.065768,20.830461,56,-11.6,11.554,10.495,10.4,0.9,      ,,,0,3,0.0868338487
105112,1294,2283,1,5.163293,21.918334,63.5,-33.6,10.847,10.01,9.935,0.711,      ,,,0,3,0.1651253116
105140,1295,364,1,5.277049,21.232457,54,-28.8,11.297,10.589,10.525,0.602,242169,24602,8.68,0,3,-0.0561846058
105264,1297,271,1,5.506272,16.058682,74.8,-20.5,11.696,10.662,10.569,0.879,      ,,,0,3,0.3960444003
105557,1300,1602,1,5.447701,18.419957,55,-37,11.432,11,10.961,0.367,      ,,,0,3,-0.0570091785
105827,1303,1050,1,5.829635,18.254926,71.4,20.5,10.922,10.264,10.205,0.559,      ,,,0,3,0.3177886753
105890,1304,471,1,5.416252,19.192848,68.5,9.1,10.668,10.011,9.952,0.558,      ,,,0,3,0.319573074
106545,1310,1550,1,5.719779,21.403169,48.6,-9.7,10.76,10.014,9.947,0.634,      ,,,0,3,-0.1331354463
106710,1311,2678,1,5.831604,21.024393,56.3,11.3,11.664,10.995,10.935,0.569,      ,,,0,3,0.1432947202
106757,1312,106,1,5.900767,15.111006,111.6,28.8,9.317,8.695,8.639,0.529,39555,,,0,3,0.4122007757
106918,1313,336,1,6.076937,15.217026,74.5,21.6,10.369,9.537,9.462,0.707,251181,,,0,3,0.3396779019
107424,1317,130,1,6.070629,17.284927,131.2,-52.8,9.884,8.997,8.917,0.754,251048,,,0,3,0.2758282949
107909,1320,1864,1,5.902407,19.064495,58,-45,10.706,10.048,9.989,0.559,      ,,,0,3,-0.0353024111
151405,1782,193,1,3.053377,24.350449,55.3,-34.6,12.416,10.739,10.588,1.425,      ,,,0,3,-0.0467675901
151417,1782,600,1,2.963366,22.760699,85,48.3,11.024,10.04,9.951,0.836,      ,,,0,3,0.2965161854
151420,1782,736,1,3.06194,24.018251,92.3,22.6,11.767,10.883,10.803,0.751,      ,,,0,3,0.4020057193
151432,1782,1124,1,3.064401,23.777233,65.7,-21.6,11.598,10.621,10.533,0.83,      ,,,0,3,0.2543480311
151440,1782,1234,1,2.935171,23.586517,55.9,-18.4,11.02,10.471,10.422,0.467,      ,,,0,3,0.0472501837
