"","n","identifier","prob_member","Otype","RA","RA_J2000","DE","DE_J2000","Sp_type","idHip","rac","dec","dist","cercanaHip","idcruzHip"
"12",12,"[BKM2008] HB7Ic08-324l",25,"* ","04 21 33.0000",4.35917,"+15 09.8 ",15.1633,"~ ",FALSE,23,28,0.0696511156335636,20261,NA
"13",13,"V* V993 Tau",100,"BY* ","04 27 35.8898",4.45997,"+15 35 21.0834 ",15.5892,"G0 ",FALSE,24,29,1.20415945787052e-05,20815,NA
"14",14,"LTT 10969",100,"PM* ","02 58 05.2222",2.96812,"+20 40 07.4544 ",20.6687,"F5IV ",FALSE,2,41,3.31360830499616e-05,13834,NA
"15",15,"[BKM2008] HC17c02-1196l",25,"* ","04 35 46.8000",4.59633,"+15 39 41 ",15.6614,"~ ",FALSE,26,29,0.0907955790223289,21039,NA
"16",16,"[BKM2008] HA13c08-1866l",25,"* ","04 29 06.1000",4.48503,"+15 00 35 ",15.0097,"~ ",FALSE,25,27,0.101095942178704,21082,NA
"17",17,"Cl* Melotte 25 LH 132",25,"*iC ","04 25 56.5700",4.43238,"+16 13 08.7 ",16.2191,"~ ",FALSE,24,30,0.0786813330085349,20916,NA
"18",18,"[BKM2008] HC13c09-1062l",25,"* ","04 27 30.0000",4.45833,"+13 51.1 ",13.8517,"~ ",FALSE,24,25,0.0188512154780534,20850,NA
"19",19,"2MASS J04264070+1804182",25,"* ","04 26 40.7000",4.44464,"+18 04 18.3 ",18.0718,"~ ",FALSE,24,35,0.0564908791576137,20679,NA
"20",21,"[BKM2008] HB12c10-1327l",25,"* ","04 30 52.0000",4.51444,"+14 26.7 ",14.445,"~ ",FALSE,25,26,0.0581546161538356,20827,NA
"21",22,"HD 28608",100,"*iC ","04 30 57.1716",4.51588,"+10 45 06.3729 ",10.7518,"F5 ",TRUE,25,18,3.20156211863128e-05,21066,21066
"22",23,"Cl* Melotte 25 LH 134",25,"*iC ","04 25 43.5700",4.42877,"+16 16 21.4 ",16.2726,"~ ",FALSE,24,30,0.0981150471028774,20877,NA
"23",24,"2MASS J04282241+1349219",75,"LM? ","04 28 22.4100",4.47289,"+13 49 22.0 ",13.8228,"~ ",FALSE,25,25,0.0454170699737429,20850,NA
"24",25,"Cl* Melotte 25 LH 72",25,"*iC ","04 31 03.5200",4.51764,"+17 29 40.9 ",17.4947,"~ ",FALSE,25,33,0.0578043565313181,20935,NA
"25",26,"[BKM2008] HC02c07-578l",25,"* ","04 22 28.0000",4.37444,"+17 43.9 ",17.7317,"~ ",FALSE,23,34,0.189347055588408,20455,NA
"26",27,"2MASS J04345750+1428083",25,"* ","04 34 57.5000",4.58264,"+14 28 08.3 ",14.469,"~ ",FALSE,26,26,0.172386453783353,21542,NA
"27",28,"HD 28363",100,"** ","04 28 59.7714",4.48327,"+16 09 32.7481 ",16.1591,"F8 ",TRUE,25,30,7.99999999756551e-06,20916,20916
"28",29,"[BKM2008] HA1Ic09-735l",25,"* ","04 27 20.4000",4.45567,"+15 48 00 ",15.8,"~ ",FALSE,24,29,0.0742292731003061,20894,NA
"29",30,"[BKM2008] HC15c10-170l",25,"* ","04 33 31.0000",4.55861,"+14 09.7 ",14.1617,"~ ",FALSE,26,25,0.0296966446926249,21132,NA
"30",31,"LP 15-640",100,"PM* ","04 30 46.7958",4.513,"+16 08 55.3067 ",16.1487,"F2 ",FALSE,25,30,4.12310562619398e-06,21053,NA
"31",32,"HD 28069",100,"*iC ","04 25 57.3384",4.43259,"+05 09 00.5164 ",5.1501,"F5 ",TRUE,24,5,4.51774279923494e-05,20693,20693
"32",33,"2MASS J04283012+1543077",25,"* ","04 28 30.1200",4.47503,"+15 43 07.7 ",15.7188,"~ ",FALSE,25,29,0.0447710595139313,21039,NA
"33",34,"[BKM2008] HA1Ic09-460l",25,"* ","04 27 16.5000",4.45458,"+15 45 33 ",15.7592,"~ ",FALSE,24,29,0.0643430939961706,20485,NA
"34",35,"* 55 Tau",100,"* ","04 19 54.8572",4.3319,"+16 31 21.3283 ",16.5226,"F9V ",FALSE,22,31,1.30000000014755e-05,20215,NA
"35",36,"2MASS J04162161+1742486",25,"* ","04 16 21.6200",4.27267,"+17 42 48.6 ",17.7135,"~ ",FALSE,22,34,0.136134803621262,19651,NA
"36",37,"HD 28911",100,"*iC ","04 33 46.6421",4.56296,"+13 15 06.7808 ",13.2519,"F2 ",TRUE,26,23,1.74642491964204e-05,21267,21267
"37",38,"2MASS J04251419+1541079",25,"* ","04 25 14.2000",4.42061,"+15 41 08.0 ",15.6856,"~ ",FALSE,24,29,0.06982619458341,20713,NA
"38",39,"LP 475-855",75,"LM? ","04 29 02.8700",4.48413,"+13 37 58.7 ",13.633,"M7 ",FALSE,25,24,0.0950964542188618,21036,NA
"39",40,"[BKM2008] HC06c07-1993l",25,"* ","04 19 06.1000",4.31836,"+18 21 15 ",18.3542,"~ ",FALSE,22,35,0.07527258956619,20350,NA
